License Number,Establishment Type,Entity Name,Street Number,Street Name,City,State,Zip Code,latitude,longitude,zcta,nbhLabel,boroLabel,label
619437,JAC   ,JERANNIE DELI GROCERY CORP       ,310,NOSTRAND AVE                 ,BROOKLYN          ,NY,11216,40.689285,-73.951351,11216,Bedford-Stuyvesant,Brooklyn,JERANNIE DELI GROCERY CORP
710565,A     ,WILLIAMSBURG FINE FOODS CENTER LL,50,LEE AVE                       ,BROOKLYN          ,NY,11211,40.706224,-73.960508,11211,Williamsburg,Brooklyn,WILLIAMSBURG FINE FOODS CENTER LL
670108,JAC   ,MAYAS FOOD CORP                  ,783,SARATOGA AVE                 ,BROOKLYN          ,NY,11212,40.661377,-73.915427,11212,"Brownsville, East Flatbush",Brooklyn,MAYAS FOOD CORP
703532,JAC   ,RIVERA YOLANDA                   ,143,MANHATTAN AVE                ,BROOKLYN          ,NY,11206,40.707696,-73.944979,11206,"Bedford-Stuyvesant, Williamsburg",Brooklyn,RIVERA YOLANDA
706469,JAC   ,G P NORTHERN BLVD SERVICE CENTER ,1193,MYRTLE AVNUE                ,BROOKLYN          ,NY,11221,40.697247,-73.932864,11221,"Bedford-Stuyvesant, Bushwick",Brooklyn,G P NORTHERN BLVD SERVICE CENTER
708821,JAC   ,C W SEAFOOD & MEAT MARKET INC    ,5707,8TH AVE                     ,BROOKLYN          ,NY,11220,40.637031,-74.007945,11220,Sunset Park,Brooklyn,C W SEAFOOD & MEAT MARKET INC
672100,JAC   ,MARCY FOOD MARKET CORP           ,535,MARCY AVE                    ,BROOKLYN          ,NY,11206,40.697005,-73.949529,11206,"Bedford-Stuyvesant, Williamsburg",Brooklyn,MARCY FOOD MARKET CORP
672260,JABCHK,OVENLY LLC                       ,31,GREENPOINT AVE                ,BROOKLYN          ,NY,11222,40.729692,-73.959564,11222,Greenpoint,Brooklyn,OVENLY LLC
713627,A     ,ALDI INC NY                      ,528,GATEWAY DR             ,BROOKLYN          ,NY,11239,40.651388,-73.868674,11239,Starrett City,Brooklyn,ALDI INC NY
672156,A     ,CONEY DELI GROCERY INC           ,2803,MERMAID AVE                 ,BROOKLYN          ,NY,11224,40.575548,-73.994493,11224,"Coney Island, Sea Gate",Brooklyn,CONEY DELI GROCERY INC
704947,JAC   ,RAINFOREST GROUP LLC             ,7102,NEW UTRECHT AVE             ,BROOKLYN          ,NY,11228,40.618928,-73.999041,11228,Dyker Heights,Brooklyn,RAINFOREST GROUP LLC
